section,continent,country,group,supergroup/association,site,unit,shared?,name,intermediate detrital?,intermediate intrusive?,depositional?,height,depth,depth_adj,age,age_std,constraint type (with respect to section age),method,material,Reference,Include in sedimentation rate calculations?,Exclude?,notes
Langbaken Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,420,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Approximate stratigraphic position based on location of the mid-Duitschland unconformity in Bekker et al. (2001) stratigraphic column. Millkin et al. (2024) reports that the dated conglomerate sample was collected approximately 15 meters above the MDU. Thus provides a minimum age constraint for this section, which ends below the MDU."
Lucknow,Africa,South Africa,Elim Group,Transvaal Supergroup,,Lucknow Formation,TRUE,Lucknow DZ - Niekerk (2006),TRUE,FALSE,FALSE,33,,,2233,11,max,U-Pb SHRIMP,detrital zircon,Niekerk (2006),N,FALSE,Youngest concordant detrital zircon age for sandstones immediately underlying carbonates with high d13C in the Lucknow Formation (see discussion in Bekker et al. 2016).
Lucknow,Africa,South Africa,Olifantshoek Group,Transvaal Supergroup,,Hartley Formation,TRUE,Hartley,FALSE,FALSE,FALSE,219,,,1915.6,0.7,min,6 different Th-U-Pb methods,lava zircons,Cornell et al. (2016),N,FALSE,Hartley Formation overlies the Lucknow Formation. Replaces a previous Hartley Formation age of 1928 +/- 4 Myr from Cornell et al. (1998)  
Lucknow - Guo et al. (2009),Africa,South Africa,Elim Group,Transvaal Supergroup,,Lucknow Formation,TRUE,Lucknow DZ - Niekerk (2006),TRUE,FALSE,FALSE,8,,,2233,11,max,U-Pb SHRIMP,detrital zircon,Niekerk (2006),N,FALSE,Youngest concordant detrital zircon age for sandstones immediately underlying carbonates with high d13C in the Lucknow Formation (see discussion in Bekker et al. 2016).
Lucknow - Guo et al. (2009),Africa,South Africa,Olifantshoek Group,Transvaal Supergroup,,Hartley Formation,TRUE,Hartley,FALSE,FALSE,FALSE,18,,,1915.6,0.7,min,6 different Th-U-Pb methods,lava zircons,Cornell et al. (2016),N,FALSE,Hartley Formation overlies the Lucknow Formation. Replaces a previous Hartley Formation age of 1928 +/- 4 Myr from Cornell et al. (1998)  
Monteville Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Lokammona Formation,TRUE,Lokammona Tuff,FALSE,FALSE,FALSE,17,,,2650,4,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Depositional age for the Lokammona Formation, which is directly below the Monteville Formation."
Monteville Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,FALSE,Monteville Tuff,FALSE,FALSE,TRUE,,,,2602,7,depositional ,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff within Monteville Formation; using as depositional age for Monteville Formation samples since uncertainty is large. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly reliable (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss).

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
Monteville Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,18,,,2521,1.5,min,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,The Gamohaan Formation is stratigraphically higher than the Monteville Formation; dated sample is from volcanic ash-rich zone (airfall tuffs that accumulated subaqueously).
Mooidraai Formation,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,,673,,2426,1.5,max,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the stratigraphically lower Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Mooidraai Formation,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,FALSE,Mooidraai Formation carbonates,FALSE,FALSE,TRUE,,,,2392,11.5,depositional ,U-Pb TIMS,whole-rock dolostone Pb-Pb,Fairey et al. (2013),N,FALSE,"Dated samples are from the lower part of the Mooidraai Formation, between ~13 and 20 meters above the contact with the underlying Hotazel Formation (contact well-defined in drill core). Note that the reported Pb-Pb age may represent a later 'tectonothermal disturbanceof the Pb-Pb carbonate system rather than a depositional or early diagenetic age' (Bekker et al. 2020); however, this claim is not clearly substantiated. Given large uncertainty, using as a depositional age for the Mooidraai Formation. "
Mooidraai Formation,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,TRUE,Mooidraai min,FALSE,FALSE,FALSE,,508,,2421.5,0.75,min,,,Fairey et al. (2013),N,FALSE,"Conservative estimate of minimum age for Mooidraai Formation. Mean set to (age -3sigma) for depositional age, with (sigma = 0.5 * measurement uncertainty). Using since alternative minimum age is significantly younger (Hartley Formation lavas), and depositional age will be enforced in practice (section is also not included in the inference)."
Mooidraai Formation - Guo et al. (2009),Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,,337,,2426,1.5,max,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the stratigraphically lower Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Mooidraai Formation - Guo et al. (2009),Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,FALSE,Mooidraai Formation carbonates,FALSE,FALSE,TRUE,,,,2392,11.5,depositional ,U-Pb TIMS,whole-rock dolostone Pb-Pb,Fairey et al. (2013),N,FALSE,"Dated samples are from the lower part of the Mooidraai Formation, between ~13 and 20 meters above the contact with the underlying Hotazel Formation (contact well-defined in drill core). Note that the reported Pb-Pb age may represent a later 'tectonothermal disturbanceof the Pb-Pb carbonate system rather than a depositional or early diagenetic age' (Bekker et al. 2020); however, this claim is not clearly substantiated. Given large uncertainty, using as a depositional age for the Mooidraai Formation. "
Mooidraai Formation - Guo et al. (2009),Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,TRUE,Mooidraai min,FALSE,FALSE,FALSE,,265,,2421.5,0.75,min,,,Fairey et al. (2013),N,FALSE,"Conservative estimate of minimum age for Mooidraai Formation. Mean set to (age -3sigma) for depositional age, with (sigma = 0.5 * measurement uncertainty). Using since alternative minimum age is significantly younger (Hartley Formation lavas), and depositional age will be enforced in practice (section is also not included in the inference)."
Postmasburg Group Composite,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,-1,,,2426,1.5,max,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the stratigraphically lower Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Postmasburg Group Composite,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,FALSE,Mooidraai Formation carbonates,FALSE,FALSE,TRUE,,,,2392,11.5,depositional,U-Pb TIMS,whole-rock dolostone Pb-Pb,Fairey et al. (2013),N,FALSE,"Dated samples are from the lower part of the Mooidraai Formation, between ~13 and 20 meters above the contact with the underlying Hotazel Formation (contact well-defined in drill core). Note that the reported Pb-Pb age may represent a later 'tectonothermal disturbanceof the Pb-Pb carbonate system rather than a depositional or early diagenetic age' (Bekker et al. 2020); however, this claim is not clearly substantiated. Given large uncertainty, using as a depositional age for the Mooidraai Formation. "
Postmasburg Group Composite,Africa,South Africa,Elim Group,Transvaal Supergroup,,Lucknow Formation,TRUE,Lucknow DZ - Niekerk (2006),TRUE,FALSE,FALSE,180,,,2233,11,max for Lucknow Formation and above,U-Pb SHRIMP,detrital zircon,Niekerk (2006),N,FALSE,Youngest concordant detrital zircon age for sandstones immediately underlying carbonates with high d13C in the Lucknow Formation (see discussion in Bekker et al. 2016).
Postmasburg Group Composite,Africa,South Africa,Olifantshoek Group,Transvaal Supergroup,,Hartley Formation,TRUE,Hartley,FALSE,FALSE,FALSE,398,,,1915.6,0.7,min,6 different Th-U-Pb methods,lava zircons,Cornell et al. (2016),N,FALSE,Hartley Formation overlies the Lucknow Formation. Replaces a previous Hartley Formation age of 1928 +/- 4 Myr from Cornell et al. (1998)  
Postmasburg Group Composite - Guo et al. 2009,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,-1,,,2426,1.5,max,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the stratigraphically lower Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Postmasburg Group Composite - Guo et al. 2009,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Mooidraai Formation,FALSE,Mooidraai Formation carbonates,FALSE,FALSE,TRUE,,,,2392,11.5,depositional,U-Pb TIMS,whole-rock dolostone Pb-Pb,Fairey et al. (2013),N,FALSE,"Dated samples are from the lower part of the Mooidraai Formation, between ~13 and 20 meters above the contact with the underlying Hotazel Formation (contact well-defined in drill core). Note that the reported Pb-Pb age may represent a later 'tectonothermal disturbanceof the Pb-Pb carbonate system rather than a depositional or early diagenetic age' (Bekker et al. 2020); however, this claim is not clearly substantiated. Given large uncertainty, using as a depositional age for the Mooidraai Formation. "
Postmasburg Group Composite - Guo et al. 2009,Africa,South Africa,Elim Group,Transvaal Supergroup,,Lucknow Formation,TRUE,Lucknow DZ - Niekerk (2006),TRUE,FALSE,FALSE,80,,,2233,11,max,U-Pb SHRIMP,detrital zircon,Niekerk (2006),N,FALSE,Youngest concordant detrital zircon age for sandstones immediately underlying carbonates with high d13C in the Lucknow Formation (see discussion in Bekker et al. 2016).
Postmasburg Group Composite - Guo et al. 2009,Africa,South Africa,Olifantshoek Group,Transvaal Supergroup,,Hartley Formation,TRUE,Hartley,FALSE,FALSE,FALSE,104,,,1915.6,0.7,min,6 different Th-U-Pb methods,lava zircons,Cornell et al. (2016),N,FALSE,Hartley Formation overlies the Lucknow Formation. Replaces a previous Hartley Formation age of 1928 +/- 4 Myr from Cornell et al. (1998)  
Reivilo Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,TRUE,Monteville Tuff,FALSE,FALSE,FALSE,9,,,2602,7,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff in the underlying Monteville Formation. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly robust (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss). 

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
Reivilo Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,10,,,2521,1.5,min,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,The Gamohaan Formation is stratigraphically higher than the Reivilo Formation; dated sample is from volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 
Sahra,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,-1,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Section is located entirely above the mid-Duitschland unconformity; Millkin et al. (2024) reports that the dated conglomerate sample is located approximately 15 meters above the MDU, providing a maximum age for the section. "
Sahra,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,6,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Sengoma Argillite Formation,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,-1,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,"Depositional age for the Hekpoort Formation, which is correlative with the Ditlojana Volcanic Formation. Using correlative constraint due to absence of direct maximum age constraints in the Bushveld Basin."
Sengoma Argillite Formation,Africa,South Africa,Bushveld Complex,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,47,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Silverton Formation,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,-1,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,
Silverton Formation,Africa,South Africa,Rooiberg Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,48,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Silverton Formation - Frauenstein et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,-1,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,
Silverton Formation - Frauenstein et al. (2009),Africa,South Africa,Rooiberg Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,41,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Silverton Formation - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,167,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,
Silverton Formation - Guo et al. (2009),Africa,South Africa,Rooiberg Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,179,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Silverton-Houtenbek composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,-1,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,
Silverton-Houtenbek composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Magaliesburg Formation,TRUE,Magaliesburg DZ - Zeh et al. 2016,TRUE,FALSE,FALSE,52,,,2080,3.5,max for Houtenbek Formation,U-Pb LA-ICP-MS,detrital zircons,"Zeh et al. (2016), Zeh et al. (2020)",N,FALSE,"Maximum age for the Magaliesburg Formation and overlying Houtenbek Formation; see discussion of robustness in Zeh et al. (2020). Younger than the detrital zircon maximum depostional age from Schröder et al. (2016) for the same formation, but 1) greater total number of zircons analyzed (20 concordant in Schröder et al. 2016 vs. 480 in Zeh et al. 2016), and 2) is a concordia age, as opposed to a single-grain age. Andersen et al. (2019a) puts forth the possibility of metamorphic overprinting, but inconclusive."
Silverton-Houtenbek composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,64,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Silverton-Houtenbek composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Hekpoort Formation,TRUE,Hekpoort Tuff,FALSE,FALSE,FALSE,0,,,2224,10.5,max,Pb-Pb TIMS,zircons from tuff,"Dorland (2004), ref. in Schröder et al. (2016)",N,FALSE,
Silverton-Houtenbek composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Magaliesburg Formation,TRUE,Magaliesburg DZ - Zeh et al. 2016,TRUE,FALSE,FALSE,13,,,2080,3.5,max for Houtenbek Formation,U-Pb LA-ICP-MS,detrital zircons,"Zeh et al. (2016), Zeh et al. (2020)",N,FALSE,"Maximum age for the Magaliesburg Formation and overlying Houtenbek Formation; see discussion of robustness in Zeh et al. (2020). Younger than the detrital zircon maximum depostional age from Schröder et al. (2016) for the same formation, but 1) greater total number of zircons analyzed (20 concordant in Schröder et al. 2016 vs. 480 in Zeh et al. 2016), and 2) is a concordia age, as opposed to a single-grain age. Andersen et al. (2019a) puts forth the possibility of metamorphic overprinting, but inconclusive."
Silverton-Houtenbek composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,16,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Tongwane - Warke et al. (2018),Africa,South Africa,Chuniespoort Subgroup,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,0,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,"Penge Iron Formation underlies the Tongwane Formation. Note that this is the same as the maximum age used for the Duitschland Formation, which means that superposition is not independently enforced (Tongwane Formation underlies the Duitschland Formation); composite section required to enforce superposition."
Tongwane - Warke et al. (2018),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,240,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Tongwane and Duitschland Formations) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Tongwane Formation - Guo et al. (2009),Africa,South Africa,Chuniespoort Subgroup,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,151,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,"Penge Iron Formation underlies the Tongwane Formation. Note that this is the same as the maximum age used for the Duitschland Formation, which means that superposition is not independently enforced (Tongwane Formation underlies the Duitschland Formation); composite section required to enforce superposition."
Tongwane Formation - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,153,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Tongwane and Duitschland Formations) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Tongwane-Duitschland composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,213,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Tongwane-Duitschland composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,420,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,Approximate stratigraphic position based on location of the mid-Duitschland unconformity in Bekker et al. (2001) stratigraphic column. Millkin et al. (2024) reports that the dated conglomerate sample was collected approximately 15 meters above the MDU.
Tongwane-Duitschland composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (upper diamictite),TRUE,Duitschland - upper diamictite DZ (Senger et al. 2023),TRUE,FALSE,FALSE,850,,,2427,3.5,max,U-Pb SHRIMP,detrital zircons in upper diamictite,Senger et al. (2023); reinterpretation of data from Zeh et al. (2020) ,N,FALSE,"Youngest detrital zircon age in upper diamictite provides a maximum age for overlying samples. Reinterpretaion of data from Zeh et al. (2020), based on the observation that young zircons from the Transvaal Group show evidence of alteration and likely yield unreliable ages (see discussion in supplement of Millikin et al. 2024)."
Tongwane-Duitschland composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,961,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Tongwane-Duitschland composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,0,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Tongwane-Duitschland composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,160,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,Approximate stratigraphic position based on location of the mid-Duitschland unconformity in stratigraphic column in Figure 2 of Guo et al. (2009).  Millkin et al. (2024) reports that the dated conglomerate sample was collected approximately 15 meters above the MDU.
Tongwane-Duitschland composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,341,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Mcheka,Africa,Zimbabwe,Deweras Group,Magondi Supergroup,,Norah Formation,FALSE,Deweras DZ,FALSE,FALSE,FALSE,8,,,2216,11,max,U-Pb LA-ICPMS,detrital zircon from quartz arenaceous sandstone,Sawada et al. (2019),N,FALSE,Detrital zircon in underlying group (unfonformable contact with the younger Lomagundi Group) provides a maximum age for the section.
Mcheka,Africa,Zimbabwe,Lomagundi Group,Magondi Supergroup,,Mcheka Formation,FALSE,Mcheka Formation carbonates,FALSE,FALSE,TRUE,,,,2150,50,depositional ,Pb-Pb,carbonate,Schidlowski and Todt (1998),N,FALSE,"Pb-Pb date for Lomagundi Group dolomites provides a depositional age for the formation. Analytical details unavailable; reference is an abstract, and the only information on concordance is that the data points are ""fairly correlated along an isochron"". Unclear whether 50 Ma is 1 or 2-sigma uncertainty, so conservatively treating as 1-sigma. "
Mcheka,Africa,Zimbabwe,Lomagundi Group,Magondi Supergroup,,Hurugwe Granite ,FALSE,Hurugwe Granite ,FALSE,FALSE,FALSE,146,,,1997.5,1.3,min,U-Pb SHRIMP,zircons from granite,McCourt et al. (2001),N,FALSE,Intrusive granite in younger or laterally coeval (Sawada et al. 2019) Piriwiri Group provides a minimum age constraint for the Lomagundi Group. 
ML1801,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
ML1803,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,55,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
ML1804,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,308,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
ML1805,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
ML1807,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
ML1808,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
